subject_id,condition,channel,band,lowcut,highcut,correlation_direct,pvalue_direct,correlation_max_lagged,optimal_lag_ms,env_source
3,AUD,EEG-ch22,delta,0.5,4,0.013044358623556091,0.00015801044212909675,0.013102602366564995,-7.8125,env_delta
3,AUD,EEG-ch23,delta,0.5,4,0.014755343419068943,1.9221651991624536e-05,0.015430748731438243,-23.4375,env_delta
3,AUD,EEG-ch24,delta,0.5,4,0.0027754369058998964,0.42149124054965187,0.014653626278335274,277.34375,env_delta
3,AUD,EEG-ch25,delta,0.5,4,0.023107560468803974,2.1802134509697413e-11,0.02674355111238698,-62.5,env_delta
3,AUD,EEG-ch26,delta,0.5,4,0.0025985601877180457,0.45168512775224223,-0.009489177394841555,140.625,env_delta
3,AUD,EEG-ch27,delta,0.5,4,0.009185145363136266,0.007807070575393679,0.01015782735944948,-27.34375,env_delta
3,AUD,EEG-ch28,delta,0.5,4,0.007689014504468994,0.02594982192480367,-0.013146883011688993,-195.3125,env_delta
3,AUD,EEG-ch29,delta,0.5,4,0.013581910082139501,8.359984816752822e-05,0.014534725203728067,31.25,env_delta
3,AUD,EEG-ch30,delta,0.5,4,0.012672163850812261,0.00024224726095809233,-0.01946187248960693,-273.4375,env_delta
3,AUD,EEG-ch31,delta,0.5,4,0.020268935186316138,4.33204324342964e-09,-0.025488514666619423,-386.71875,env_delta
3,AUD,EEG-ch32,delta,0.5,4,0.014675147719886861,2.132795910572385e-05,0.014819528296436436,-7.8125,env_delta
3,AUD,EEG-ch1,theta,4.0,8,0.0004475474687061114,0.8968664195843475,-0.010198198473118517,359.375,env_theta
3,AUD,EEG-ch2,theta,4.0,8,0.00016234320239848265,0.9624983945847603,0.010700951135557284,285.15625,env_theta
3,AUD,EEG-ch3,theta,4.0,8,0.0013044079496098814,0.7055873485777768,-0.011488073615550095,359.375,env_theta
3,AUD,EEG-ch4,theta,4.0,8,0.0008244435265843612,0.8112767246800562,0.010417251242175466,285.15625,env_theta
3,AUD,EEG-ch5,theta,4.0,8,-0.0006121665309432913,0.8592738507892769,0.011704865083871462,285.15625,env_theta
3,AUD,EEG-ch6,theta,4.0,8,0.00034253984833375545,0.9209731045954535,0.015597438093096088,289.0625,env_theta
3,AUD,EEG-ch7,theta,4.0,8,-0.0007599811099814037,0.8257859726740735,0.010426620769663672,289.0625,env_theta
3,AUD,EEG-ch8,theta,4.0,8,-0.0007879571713070616,0.8194814796620178,0.009229055885470225,285.15625,env_theta
3,AUD,EEG-ch9,theta,4.0,8,0.00016872290829168628,0.9610258202028651,0.011840710302455959,285.15625,env_theta
3,AUD,EEG-ch10,theta,4.0,8,-0.0034122757200796177,0.32301436064187394,0.011915874012758657,289.0625,env_theta
3,AUD,EEG-ch11,theta,4.0,8,-0.0033386249952784947,0.3335684554989127,0.008488774198212697,289.0625,env_theta
3,AUD,EEG-ch12,theta,4.0,8,-0.0001874403594015332,0.9567062127408026,-0.007335294273908029,359.375,env_theta
3,AUD,EEG-ch13,theta,4.0,8,-0.001265123454684227,0.7140582486464342,0.010376156121670175,285.15625,env_theta
3,AUD,EEG-ch14,theta,4.0,8,-0.0019598080672730833,0.5703001680929182,-0.008349179894781351,367.1875,env_theta
3,AUD,EEG-ch15,theta,4.0,8,-0.0019654597606947955,0.5691889659976096,-0.008894015724541942,363.28125,env_theta
3,AUD,EEG-ch16,theta,4.0,8,-0.0010775196096200008,0.7549824266577982,-0.007151083157217484,-402.34375,env_theta
3,AUD,EEG-ch17,theta,4.0,8,-0.0012037758415978713,0.7273570320359387,-0.007327665964153417,-398.4375,env_theta
3,AUD,EEG-ch18,theta,4.0,8,-0.0010745898650200009,0.7556273602436786,0.007393820925265673,289.0625,env_theta
3,AUD,EEG-ch19,theta,4.0,8,-0.002688664082573745,0.43615345735836347,0.006864051390261218,-449.21875,env_theta
3,AUD,EEG-ch20,theta,4.0,8,-0.0035954574457013992,0.29771923745254564,0.0065898625346096865,296.875,env_theta
